ID,soubor,kategorie,podkategorie,datumPridani,sezona,zamereni,nazevCz,nazevEn,nazevDe,nazevEs,altCz_colored,altEn_colored,altDe_colored,altEs_colored,altCz_coloring,altEn_coloring,altDe_coloring,altEs_coloring,altCz_partly_colored,altEn_partly_colored,altDe_partly_colored,altEs_partly_colored
1004,lv1_gem_1004-bear-coloring,zvirata,lesni-zvirata,2026-06-20,,,Medvídek,Teddy Bear,Teddybär,Osito de peluche,,,,,Jednoduchá černobílá dětská omalovánka s medvídkem pro děti (batolata a předškoláky) ve věku 3–4 roky k vytisknutí zdarma,Simple black and white children's coloring page with a teddy bear for kids (toddlers and preschoolers) aged 3–4 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einem Teddybären für Kinder im Alter von 3–4 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un osito de peluche para niños de 3–4 años, gratis para imprimir",,,,
1004,lv2_gem_1004-bear-coloring,zvirata,lesni-zvirata,2026-06-20,,,Medvídek,Teddy Bear,Teddybär,Osito de peluche,,,,,Jednoduchá černobílá dětská omalovánka s medvídkem pro děti (předškoláky) ve věku 5–6 let k vytisknutí zdarma,Simple black and white children's coloring page with a teddy bear for kids (preschoolers) aged 5–6 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einem Teddybären für Kinder im Alter von 5–6 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un osito de peluche para niños de 5–6 años, gratis para imprimir",,,,
1004,lv3_gem_1004-bear-coloring,zvirata,lesni-zvirata,2026-06-20,,,Medvídek,Teddy Bear,Teddybär,Osito de peluche,,,,,Černobílá dětská omalovánka s medvídkem pro děti (mladší školáky) ve věku 7–9 let k vytisknutí zdarma,Black and white children's coloring page with a teddy bear for kids (young school kids) aged 7–9 years old free to print,Schwarz-weißes Ausmalbild mit einem Teddybären für Kinder im Alter von 7–9 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear en blanco y negro con un osito de peluche para niños de 7–9 años, gratis para imprimir",,,,
1004,lv4_gem_1004-bear-coloring,zvirata,lesni-zvirata,2026-06-20,,,Medvídek,Teddy Bear,Teddybär,Osito de peluche,,,,,Černobílá dětská omalovánka s medvídkem pro děti (školáky) od 10 let k vytisknutí zdarma,Black and white children's coloring page with a teddy bear for kids (school kids) from 10 years old free to print,Schwarz-weißes Ausmalbild mit einem Teddybären für Kinder ab 10 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear en blanco y negro con un osito de peluche para niños a partir de 10 años, gratis para imprimir",,,,
1004,lv5_gem_1004-bear-coloring,zvirata,lesni-zvirata,2026-06-20,,,Medvídek,Teddy Bear,Teddybär,Osito de peluche,,,,,Těžká antistresová černobílá omalovánka s medvídkem pro experty a dospělé k vytisknutí zdarma,Hard antistress black and white coloring page with a teddy bear for experts and adults free to print,Schwieriges Anti-Stress-Ausmalbild in Schwarz-Weiß mit einem Teddybären für Experten und Erwachsene kostenlos zum Ausdrucken,"Dibujo antiestrés difícil en blanco y negro con un osito de peluche para expertos y adultos, gratis para imprimir",,,,
2001,lv2_gem_2001-freight-train-coloring,doprava,vlaky,2026-06-22,,,Nákladní vláček,Freight Train,Güterzug,Tren de carga,,,,,Jednoduchá černobílá dětská omalovánka nákladní vláček s parní mašinkou a vagonky naloženými dřevem a uhlím pro děti (předškoláky) ve věku 5–6 let k vytisknutí zdarma,Simple black and white children's coloring page of a cargo train with a steam engine and wagons loaded with wood and coal for kids (preschoolers) aged 5–6 years old free to print,Einfaches schwarz-weißes Ausmalbild eines Güterzugs mit Dampflokomotive und mit Holz und Kohle beladenen Waggons für Kinder im Alter von 5–6 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro de un tren de carga con locomotora de vapor y vagones cargados de madera y carbón para niños de 5–6 años, gratis para imprimir",,,,
6021,lv1_gem_6021-baby-in-stroller-coloring,povolani,rodina,2026-06-20,,,Miminko v kočárku,Baby in Stroller,Baby im Kinderwagen,Bebé en el cochecito,,,,,Jednoduchá černobílá dětská omalovánka s miminkem v kočárku pro děti (batolata a předškoláky) ve věku 3–4 roky k vytisknutí zdarma,Simple black and white children's coloring page with a baby in a stroller for kids (toddlers and preschoolers) aged 3–4 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einem Baby im Kinderwagen für Kinder im Alter von 3–4 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un bebé en el cochecito para niños de 3–4 años, gratis para imprimir",,,,
6021,lv2_gem_6021-baby-in-stroller-coloring,povolani,rodina,2026-06-20,,,Miminko v kočárku,Baby in Stroller,Baby im Kinderwagen,Bebé en el cochecito,,,,,Jednoduchá černobílá dětská omalovánka s miminkem v kočárku pro děti (předškoláky) ve věku 5–6 let k vytisknutí zdarma,Simple black and white children's coloring page with a baby in a stroller for kids (preschoolers) aged 5–6 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einem Baby im Kinderwagen für Kinder im Alter von 5–6 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un bebé en el cochecito para niños de 5–6 años, gratis para imprimir",,,,
1036,lv1_gpt_1036-snail-coloring,zvirata,"lucni,hmyz",2026-07-10,"jaro,podzim",jemna-motorika,Šnek,Snail,Schnecke,Caracol,,,,,Jednoduchá černobílá dětská omalovánka se šnekem pro děti (batolata a předškoláky) ve věku 3–4 roky k vytisknutí zdarma,Simple black and white children's coloring page with a snail for kids (toddlers and preschoolers) aged 3–4 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einer Schnecke für Kinder im Alter von 3–4 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un caracol para niños de 3–4 años, gratis para imprimir",,,,
1013,lv1_gem_1013-hedgehog-coloring,zvirata,"lesni-zvirata, lucni",2026-07-10,podzim,jemna-motorika,Ježek,Hedgehog,Igel,Erizo,,,,,Jednoduchá černobílá dětská omalovánka s ježkem pro děti (batolata a předškoláky) ve věku 3–4 roky k vytisknutí zdarma,Simple black and white children's coloring page with a hedgehog for kids (toddlers and preschoolers) aged 3–4 years old free to print,Einfaches schwarz-weißes Ausmalbild mit einem Igel für Kinder im Alter von 3–4 Jahren kostenlos zum Ausdrucken,"Dibujo para colorear sencillo en blanco y negro con un erizo para niños de 3–4 años, gratis para imprimir",,,,
